consortium	rate	ratesum	ratefactor	yield	yieldsum	yieldfactor	richness	p1	p4	p7	p8	p10	p13
F1	0.00523137	0.00523137	1	0.0281	0.0281	1	1	1	0	0	0	0	0
F1	0.007034817	0.007034817	1	0.0142	0.0142	1	1	1	0	0	0	0	0
F1	0.005517355	0.005517355	1	0.0198	0.0198	1	1	1	0	0	0	0	0
F4	0.005812163	0.005812163	1	0.0069	0.0069	1	1	0	1	0	0	0	0
F4	0.007808721	0.007808721	1	0.0101	0.0101	1	1	0	1	0	0	0	0
F4	0.008904966	0.008904966	1	0.0113	0.0113	1	1	0	1	0	0	0	0
F7	0.00732974	0.00732974	1	0.0105	0.0105	1	1	0	0	1	0	0	0
F7	0.006540602	0.006540602	1	0.0154	0.0154	1	1	0	0	1	0	0	0
F7	0.006932273	0.006932273	1	0.0136	0.0136	1	1	0	0	1	0	0	0
F8	0.002684647	0.002684647	1	0.012	0.012	1	1	0	0	0	1	0	0
F8	0.001432129	0.001432129	1	0.0138	0.0138	1	1	0	0	0	1	0	0
F8	0.002193817	0.002193817	1	0.0141	0.0141	1	1	0	0	0	1	0	0
F10	0.001236446	0.001236446	1	0.0098	0.0098	1	1	0	0	0	0	1	0
F10	0.00101132	0.00101132	1	0.0107	0.0107	1	1	0	0	0	0	1	0
F10	0.001219743	0.001219743	1	0.0098	0.0098	1	1	0	0	0	0	1	0
F13	0.000907843	0.000907843	1	0.0146	0.0146	1	1	0	0	0	0	0	1
F13	0.00086883	0.00086883	1	0.0195	0.0195	1	1	0	0	0	0	0	1
F13	0.000792059	0.000792059	1	0.0178	0.0178	1	1	0	0	0	0	0	1
F1F8	0.011123245	0.008031379	1.384973294	0.0125	0.034	0.367647059	2	1	0	0	1	0	0
F1F8	0.007327188	0.008031379	0.912320128	0.0154	0.034	0.452941176	2	1	0	0	1	0	0
F1F8	0.008454036	0.008031379	1.052625729	0.0138	0.034	0.405882353	2	1	0	0	1	0	0
F1F7	0.017945995	0.012862053	1.395266789	0.021	0.033866667	0.62007874	2	1	0	1	0	0	0
F1F7	0.016334212	0.012862053	1.269953717	0.0144	0.033866667	0.42519685	2	1	0	1	0	0	0
F1F7	0.007142791	0.012862053	0.555338322	0.0175	0.033866667	0.516732283	2	1	0	1	0	0	0
F1F10	0.010641479	0.007083684	1.502252221	0.0115	0.0308	0.373376623	2	1	0	0	0	1	0
F1F10	0.010234475	0.007083684	1.444795634	0.0207	0.0308	0.672077922	2	1	0	0	0	1	0
F1F10	0.01030612	0.007083684	1.454909679	0.0167	0.0308	0.542207792	2	1	0	0	0	1	0
F1F13	0.007869275	0.006784092	1.159959973	0.0184	0.038	0.484210526	2	1	0	0	0	0	1
F1F13	0.009972693	0.006784092	1.470011503	0.0136	0.038	0.357894737	2	1	0	0	0	0	1
F1F13	0.007579656	0.006784092	1.117269182	0.0105	0.038	0.276315789	2	1	0	0	0	0	1
F4F8	0.014263621	0.009612148	1.483916163	0.0133	0.022733333	0.585043988	2	0	1	0	1	0	0
F4F8	0.011157178	0.009612148	1.160737206	0.0088	0.022733333	0.387096774	2	0	1	0	1	0	0
F4F8	0.01093446	0.009612148	1.137566784	0.0108	0.022733333	0.475073314	2	0	1	0	1	0	0
F4F7	0.011880573	0.014442822	0.822593644	0.02	0.0226	0.884955752	2	0	1	1	0	0	0
F4F7	0.012534554	0.014442822	0.867874313	0.0138	0.0226	0.610619469	2	0	1	1	0	0	0
F4F7	0.011966735	0.014442822	0.828559343	0.0163	0.0226	0.721238938	2	0	1	1	0	0	0
F4F10	0.016770966	0.008664453	1.935605834	0.0222	0.019533333	1.136518771	2	0	1	0	0	1	0
F4F10	0.018864712	0.008664453	2.17725363	0.013	0.019533333	0.66552901	2	0	1	0	0	1	0
F4F10	0.015673138	0.008664453	1.808901059	0.0206	0.019533333	1.054607509	2	0	1	0	0	1	0
F4F13	0.008771637	0.008364861	1.048629101	0.0141	0.026733333	0.527431421	2	0	1	0	0	0	1
F4F13	0.008508145	0.008364861	1.017129306	0.0162	0.026733333	0.605985037	2	0	1	0	0	0	1
F4F13	0.00787079	0.008364861	0.940934955	0.0117	0.026733333	0.43765586	2	0	1	0	0	0	1
F8F7	0.024275391	0.009037736	2.686003492	0.016	0.026466667	0.604534005	2	0	0	1	1	0	0
F8F7	0.023889288	0.009037736	2.643282362	0.011	0.026466667	0.415617128	2	0	0	1	1	0	0
F8F7	0.025352245	0.009037736	2.805154377	0.0103	0.026466667	0.389168766	2	0	0	1	1	0	0
F8F10	0.002385089	0.003259367	0.731764407	0.0131	0.0234	0.55982906	2	0	0	0	1	1	0
F8F10	0.002465811	0.003259367	0.756530663	0.0106	0.0234	0.452991453	2	0	0	0	1	1	0
F8F10	0.002920878	0.003259367	0.896148873	0.0126	0.0234	0.538461538	2	0	0	0	1	1	0
F8F13	0.002978506	0.002959775	1.006328627	0.0096	0.0306	0.31372549	2	0	0	0	1	0	1
F8F13	0.003323276	0.002959775	1.122813723	0.0127	0.0306	0.41503268	2	0	0	0	1	0	1
F8F13	0.003562901	0.002959775	1.203774245	0.0235	0.0306	0.767973856	2	0	0	0	1	0	1
F7F10	0.010599813	0.008090041	1.310229757	0.0106	0.023266667	0.455587393	2	0	0	1	0	1	0
F7F10	0.008233642	0.008090041	1.017750281	0.0121	0.023266667	0.455587393	2	0	0	1	0	1	0
F7F10	0.008712224	0.008090041	1.076907298	0.0102	0.023266667	0.520057307	2	0	0	1	0	1	0
F7F13	0.006359888	0.007790449	0.816369825	0.014	0.030466667	0.334792123	2	0	0	1	0	0	1
F7F13	0.007613554	0.007790449	0.977293362	0.0124	0.030466667	0.4595186	2	0	0	1	0	0	1
F7F13	0.006359888	0.007790449	0.816369825	0.0102	0.030466667	0.407002188	2	0	0	1	0	0	1
F1F4F7	0.009151414	0.020370669	0.449244656	0.0396	0.0433	0.914549654	3	1	1	1	0	0	0
F1F4F7	0.009305114	0.020370669	0.4567898	0.0439	0.0433	1.013856813	3	1	1	1	0	0	0
F1F4F7	0.008774241	0.020370669	0.43072915	0.0398	0.0433	0.919168591	3	1	1	1	0	0	0
F1F4F8	0.006582265	0.015539995	0.423569336	0.0373	0.043433333	0.858787414	3	1	1	0	1	0	0
F1F4F8	0.007096357	0.015539995	0.456651151	0.0404	0.043433333	0.930161167	3	1	1	0	1	0	0
F1F4F8	0.00756649	0.015539995	0.486904277	0.0424	0.043433333	0.976208749	3	1	1	0	1	0	0
F1F4F10	0.006935414	0.0145923	0.475279007	0.0364	0.040233333	0.904722452	3	1	1	0	0	1	0
F1F4F10	0.007078939	0.0145923	0.485114647	0.0372	0.040233333	0.924606462	3	1	1	0	0	1	0
F1F4F10	0.007662017	0.0145923	0.525072618	0.0411	0.040233333	1.021541011	3	1	1	0	0	1	0
F1F4F13	0.007078156	0.014292708	0.495228491	0.0346	0.047433333	0.729444835	3	1	1	0	0	0	1
F1F4F13	0.006681994	0.014292708	0.4675107	0.0457	0.047433333	0.963457484	3	1	1	0	0	0	1
F1F4F13	0.006959552	0.014292708	0.486930253	0.0458	0.047433333	0.965565706	3	1	1	0	0	0	1
F1F7F8	0.006559107	0.014965584	0.438279374	0.034	0.047166667	0.720848057	3	1	0	1	1	0	0
F1F7F8	0.004811769	0.014965584	0.321522329	0.035	0.047166667	0.74204947	3	1	0	1	1	0	0
F1F7F8	0.00582979	0.014965584	0.389546428	0.0358	0.047166667	0.759010601	3	1	0	1	1	0	0
F1F7F10	0.006176385	0.014017889	0.440607361	0.0355	0.043966667	0.807429871	3	1	0	1	0	1	0
F1F7F10	0.004563875	0.014017889	0.325575078	0.0413	0.043966667	0.939347991	3	1	0	1	0	1	0
F1F7F10	0.005327453	0.014017889	0.380046777	0.0339	0.043966667	0.771038666	3	1	0	1	0	1	0
F1F7F13	0.005087005	0.013718297	0.370818986	0.0366	0.051166667	0.715309446	3	1	0	1	0	0	1
F1F7F13	0.005353667	0.013718297	0.390257438	0.0307	0.051166667	0.6	3	1	0	1	0	0	1
F1F7F13	0.005606235	0.013718297	0.408668414	0.0305	0.051166667	0.596091205	3	1	0	1	0	0	1
F1F8F10	0.009451694	0.009187215	1.028787721	0.0162	0.0441	0.367346939	3	1	0	0	1	1	0
F1F8F10	0.010955017	0.009187215	1.19241989	0.0168	0.0441	0.380952381	3	1	0	0	1	1	0
F1F8F10	0.00922924	0.009187215	1.004574346	0.0172	0.0441	0.390022676	3	1	0	0	1	1	0
F1F8F13	0.008277098	0.008887623	0.931306207	0.0237	0.0513	0.461988304	3	1	0	0	1	0	1
F1F8F13	0.00838224	0.008887623	0.943136353	0.0252	0.0513	0.49122807	3	1	0	0	1	0	1
F1F8F13	0.009171784	0.008887623	1.031972753	0.0218	0.0513	0.424951267	3	1	0	0	1	0	1
F1F10F13	0.008089526	0.007939928	1.018841242	0.0141	0.0481	0.293139293	3	1	0	0	0	1	1
F1F10F13	0.010179948	0.007939928	1.282120958	0.0139	0.0481	0.288981289	3	1	0	0	0	1	1
F1F10F13	0.007784448	0.007939928	0.980417941	0.0135	0.0481	0.280665281	3	1	0	0	0	1	1
F4F7F8	0.009178228	0.016546353	0.554697963	0.0302	0.0359	0.841225627	3	0	1	1	1	0	0
F4F7F8	0.008975431	0.016546353	0.542441638	0.0343	0.0359	0.955431755	3	0	1	1	1	0	0
F4F7F8	0.008319836	0.016546353	0.502819945	0.0404	0.0359	1.125348189	3	0	1	1	1	0	0
F4F7F10	0.006188554	0.015598658	0.3967363	0.0414	0.0327	1.266055046	3	0	1	1	0	1	0
F4F7F10	0.00590906	0.015598658	0.378818498	0.04	0.0327	1.22324159	3	0	1	1	0	1	0
F4F7F10	0.005711821	0.015598658	0.366173875	0.038	0.0327	1.162079511	3	0	1	1	0	1	0
F4F7F13	0.007191	0.015299066	0.470028724	0.0381	0.0399	0.954887218	3	0	1	1	0	0	1
F4F7F13	0.006805991	0.015299066	0.444863177	0.0355	0.0399	0.889724311	3	0	1	1	0	0	1
F4F7F13	0.0065	0.015299066	0.424862538	0.0372	0.0399	0.932330827	3	0	1	1	0	0	1
F4F8F10	0.006055779	0.010767984	0.562387441	0.0322	0.032833333	0.98071066	3	0	1	0	1	1	0
F4F8F10	0.005492241	0.010767984	0.510052898	0.0316	0.032833333	0.962436548	3	0	1	0	1	1	0
F4F8F10	0.005305538	0.010767984	0.492714105	0.0376	0.032833333	1.145177665	3	0	1	0	1	1	0
F4F8F13	0.005715841	0.010468392	0.546009496	0.0409	0.040033333	1.021648626	3	0	1	0	1	0	1
F4F8F13	0.005477714	0.010468392	0.52326226	0.0415	0.040033333	1.036636137	3	0	1	0	1	0	1
F4F8F13	0.005986207	0.010468392	0.571836302	0.0406	0.040033333	1.014154871	3	0	1	0	1	0	1
F4F10F13	0.006123344	0.009520697	0.643161339	0.0357	0.036833333	0.969230769	3	0	1	0	0	1	1
F4F10F13	0.006398017	0.009520697	0.672011446	0.0389	0.036833333	1.056108597	3	0	1	0	0	1	1
F4F10F13	0.005992564	0.009520697	0.62942497	0.0454	0.036833333	1.232579186	3	0	1	0	0	1	1
F7F8F10	0.004933576	0.010193572	0.483988954	0.0221	0.036566667	0.60437557	3	0	0	1	1	1	0
F7F8F10	0.004763394	0.010193572	0.467293933	0.0279	0.036566667	0.762989973	3	0	0	1	1	1	0
F7F8F10	0.005582249	0.010193572	0.547624439	0.0298	0.036566667	0.814949863	3	0	0	1	1	1	0
F7F8F13	0.003878777	0.00989398	0.392034024	0.0292	0.043766667	0.66717441	3	0	0	1	1	0	1
F7F8F13	0.004116821	0.00989398	0.416093502	0.0271	0.043766667	0.619192688	3	0	0	1	1	0	1
F7F8F13	0.003633738	0.00989398	0.367267538	0.0269	0.043766667	0.614623001	3	0	0	1	1	0	1
F7F10F13	0.003067246	0.008946285	0.342851366	0.023	0.040566667	0.566967954	3	0	0	1	0	1	1
F7F10F13	0.002654891	0.008946285	0.296759067	0.0221	0.040566667	0.544782251	3	0	0	1	0	1	1
F7F10F13	0.002761792	0.008946285	0.308708198	0.0237	0.040566667	0.5842235	3	0	0	1	0	1	1
F1F4F7F8	0.005036571	0.0224742	0.224104585	0.043	0.0566	0.759717314	4	1	1	1	1	0	0
F1F4F7F8	0.004836481	0.0224742	0.215201486	0.0277	0.0566	0.489399293	4	1	1	1	1	0	0
F1F4F7F8	0.00406318	0.0224742	0.180793092	0.0371	0.0566	0.655477032	4	1	1	1	1	0	0
F1F4F7F10	0.004370163	0.021526506	0.203013112	0.0399	0.0534	0.747191011	4	1	1	1	0	1	0
F1F4F7F10	0.004004643	0.021526506	0.186033099	0.0304	0.0534	0.56928839	4	1	1	1	0	1	0
F1F4F7F10	0.004292709	0.021526506	0.199415036	0.0305	0.0534	0.571161049	4	1	1	1	0	1	0
F1F4F7F13	0.004181122	0.021226913	0.196972683	0.0345	0.0606	0.569306931	4	1	1	1	0	0	1
F1F4F7F13	0.004611544	0.021226913	0.217249844	0.0306	0.0606	0.504950495	4	1	1	1	0	0	1
F1F4F7F13	0.004302769	0.021226913	0.202703447	0.0246	0.0606	0.405940594	4	1	1	1	0	0	1
F1F4F8F10	0.005089694	0.016695831	0.3048482	0.0298	0.053533333	0.556662516	4	1	1	0	1	1	0
F1F4F8F10	0.004306484	0.016695831	0.25793765	0.0325	0.053533333	0.607098381	4	1	1	0	1	1	0
F1F4F8F10	0.004325187	0.016695831	0.259057874	0.034	0.053533333	0.635118306	4	1	1	0	1	1	0
F1F4F8F13	0.004510426	0.016396239	0.275089065	0.0336	0.060733333	0.5532382	4	1	1	0	1	0	1
F1F4F8F13	0.004566164	0.016396239	0.278488463	0.0371	0.060733333	0.610867179	4	1	1	0	1	0	1
F1F4F8F13	0.004501008	0.016396239	0.274514646	0.0266	0.060733333	0.437980241	4	1	1	0	1	0	1
F1F4F10F13	0.003483918	0.015448545	0.225517525	0.0399	0.057533333	0.693511008	4	1	1	0	0	1	1
F1F4F10F13	0.003384156	0.015448545	0.219059888	0.0319	0.057533333	0.554461182	4	1	1	0	0	1	1
F1F4F10F13	0.003703969	0.015448545	0.239761707	0.0289	0.057533333	0.502317497	4	1	1	0	0	1	1
F1F7F8F10	0.002625178	0.01612142	0.162837907	0.0351	0.057266667	0.612922002	4	1	0	1	1	1	0
F1F7F8F10	0.002864823	0.01612142	0.177702917	0.0355	0.057266667	0.619906868	4	1	0	1	1	1	0
F1F7F8F10	0.002772113	0.01612142	0.171952155	0.0334	0.057266667	0.583236321	4	1	0	1	1	1	0
F1F7F8F13	0.003064483	0.015821828	0.193687065	0.0395	0.064466667	0.612719752	4	1	0	1	1	0	1
F1F7F8F13	0.00203663	0.015821828	0.128722776	0.0238	0.064466667	0.36918304	4	1	0	1	1	0	1
F1F7F8F13	0.002825207	0.015821828	0.178563895	0.0334	0.064466667	0.518097208	4	1	0	1	1	0	1
F1F7F10F13	0.001784471	0.014874133	0.119971425	0.0308	0.061266667	0.502720348	4	1	0	1	0	1	1
F1F7F10F13	0.001897138	0.014874133	0.127546101	0.0265	0.061266667	0.432535365	4	1	0	1	0	1	1
F1F7F10F13	0.002017278	0.014874133	0.135623208	0.0328	0.061266667	0.535364527	4	1	0	1	0	1	1
F1F8F10F13	0.002635054	0.010043459	0.26236516	0.0465	0.0614	0.75732899	4	1	0	0	1	1	1
F1F8F10F13	0.002766843	0.010043459	0.275487093	0.041	0.0614	0.667752443	4	1	0	0	1	1	1
F1F8F10F13	0.002128254	0.010043459	0.211904498	0.0406	0.0614	0.661237785	4	1	0	0	1	1	1
F4F7F8F10	0.00504693	0.017702189	0.285102029	0.0308	0.046	0.669565217	4	0	1	1	1	1	0
F4F7F8F10	0.005207236	0.017702189	0.294157766	0.0326	0.046	0.708695652	4	0	1	1	1	1	0
F4F7F8F10	0.004252753	0.017702189	0.240238837	0.0267	0.046	0.580434783	4	0	1	1	1	1	0
F4F7F8F13	0.003859523	0.017402597	0.221778562	0.0355	0.0532	0.667293233	4	0	1	1	1	0	1
F4F7F8F13	0.0046056	0.017402597	0.264650139	0.0239	0.0532	0.44924812	4	0	1	1	1	0	1
F4F7F8F13	0.004501017	0.017402597	0.258640513	0.0369	0.0532	0.693609023	4	0	1	1	1	0	1
F4F7F10F13	0.003406356	0.016454902	0.207011634	0.0247	0.05	0.494	4	0	1	1	0	1	1
F4F7F10F13	0.003503112	0.016454902	0.212891689	0.0302	0.05	0.604	4	0	1	1	0	1	1
F4F7F10F13	0.0037787	0.016454902	0.229639783	0.0354	0.05	0.708	4	0	1	1	0	1	1
F4F8F10F13	0.003371426	0.011624228	0.290034414	0.0194	0.050133333	0.386968085	4	0	1	0	1	1	1
F4F8F10F13	0.003721524	0.011624228	0.320152326	0.0458	0.050133333	0.91356383	4	0	1	0	1	1	1
F4F8F10F13	0.003626442	0.011624228	0.311972712	0.0311	0.050133333	0.620345745	4	0	1	0	1	1	1
F7F8F10F13	0.002343874	0.011049816	0.212118841	0.0277	0.053866667	0.514232673	4	0	0	1	1	1	1
F7F8F10F13	0.002592028	0.011049816	0.234576531	0.0279	0.053866667	0.517945545	4	0	0	1	1	1	1
F7F8F10F13	0.0022221	0.011049816	0.201098399	0.0328	0.053866667	0.608910891	4	0	0	1	1	1	1
F1F4F7F8F10	0.003389959	0.023630037	0.143459732	0.0232	0.0667	0.347826087	5	1	1	1	1	1	0
F1F4F7F8F10	0.003224753	0.023630037	0.136468369	0.0253	0.0667	0.379310345	5	1	1	1	1	1	0
F1F4F7F8F10	0.003407807	0.023630037	0.144215053	0.0313	0.0667	0.469265367	5	1	1	1	1	1	0
F1F4F7F8F13	0.004836396	0.023330444	0.207299789	0.0243	0.0739	0.328822733	5	1	1	1	1	0	1
F1F4F7F8F13	0.004218931	0.023330444	0.180833699	0.0248	0.0739	0.335588633	5	1	1	1	1	0	1
F1F4F7F8F13	0.004414397	0.023330444	0.189211869	0.0439	0.0739	0.594046008	5	1	1	1	1	0	1
F1F4F7F10F13	0.004474762	0.02238275	0.199920103	0.0384	0.0707	0.543140028	5	1	1	1	0	1	1
F1F4F7F10F13	0.004069894	0.02238275	0.18183171	0.0302	0.0707	0.427157001	5	1	1	1	0	1	1
F1F4F7F10F13	0.004062949	0.02238275	0.181521449	0.0254	0.0707	0.359264498	5	1	1	1	0	1	1
F1F4F8F10F13	0.003278559	0.017552076	0.186790412	0.0186	0.070833333	0.262588235	5	1	1	0	1	1	1
F1F4F8F10F13	0.003921827	0.017552076	0.223439484	0.0334	0.070833333	0.471529412	5	1	1	0	1	1	1
F1F4F8F10F13	0.004256678	0.017552076	0.242517083	0.022	0.070833333	0.310588235	5	1	1	0	1	1	1
F1F7F8F10F13	0.001472673	0.016977664	0.0867418	0.0319	0.074566667	0.427805096	5	1	0	1	1	1	1
F1F7F8F10F13	0.001682348	0.016977664	0.099091852	0.0293	0.074566667	0.392936969	5	1	0	1	1	1	1
F1F7F8F10F13	0.001911802	0.016977664	0.112606922	0.0306	0.074566667	0.410371033	5	1	0	1	1	1	1
